term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
Auth_CDFW,986,environment,,,California Natural Resources Agency Data Portal,986,,,,,,,,,,
sn,795,,,,California Natural Resources Agency Data Portal,795,,,,,,,,,,
cn,795,,,,California Natural Resources Agency Data Portal,795,,,,,,,,,,
natural,770,environment,,,California Natural Resources Agency Data Portal,770,,,,,,,,,,
habitat,757,environment,,,California Natural Resources Agency Data Portal,757,,,,,,,,,,
species,745,environment,,,California Natural Resources Agency Data Portal,745,,,,,,,,,,
wildlife,709,environment,,,California Natural Resources Agency Data Portal,709,,,,,,,,,,
resources,693,,,,California Natural Resources Agency Data Portal,690,Los Angeles Open Data,1,Performance LA,1,California Health and Human Services Open Data Portal,1,,,,
Los Angeles,483,,,,LA City Geo Hub,481,California Natural Resources Agency Data Portal,1,SCAG GIS Open Data Portal,1,,,,,,
LA,477,,,,LA City Geo Hub,477,,,,,,,,,,
bird,447,environment,,,California Natural Resources Agency Data Portal,447,,,,,,,,,,
County of LA,411,,,,LA City Geo Hub,411,,,,,,,,,,
birds,374,environment,,,California Natural Resources Agency Data Portal,374,,,,,,,,,,
mammal,261,environment,,,California Natural Resources Agency Data Portal,261,,,,,,,,,,
City of LA,205,,,,LA City Geo Hub,205,,,,,,,,,,
BOE,202,government-services,,,LA City Geo Hub,202,,,,,,,,,,
NavigateLA,199,transportation,,,LA City Geo Hub,199,,,,,,,,,,
mammals,185,environment,,,California Natural Resources Agency Data Portal,185,,,,,,,,,,
LMS,178,,,,LA City Geo Hub,178,,,,,,,,,,
Location Management System,178,,,,LA City Geo Hub,178,,,,,,,,,,
Points of Interest,187,,,,LA City Geo Hub,178,City of Long Beach Data Portal,9,,,,,,,,
reptile,176,environment,,,California Natural Resources Agency Data Portal,176,,,,,,,,,,
locations,173,,,,LA City Geo Hub,169,Los Angeles Open Data,3,County of Los Angeles Data Portal,1,,,,,,
