term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
Auth_CDFW,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22Auth_CDFW%22"", ""2012"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22Auth_CDFW%22"", ""2012"")",,,,,,,,,,
sn,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22sn%22"", ""1605"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22sn%22"", ""1605"")",,,,,,,,,,
cn,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22cn%22"", ""1604"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22cn%22"", ""1604"")",,,,,,,,,,
natural,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22natural%22"", ""1537"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22natural%22"", ""1537"")",,,,,,,,,,
habitat,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22habitat%22"", ""1512"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22habitat%22"", ""1512"")",,,,,,,,,,
species,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22species%22"", ""1492"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22species%22"", ""1492"")",,,,,,,,,,
wildlife,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22wildlife%22"", ""1433"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22wildlife%22"", ""1433"")",,,,,,,,,,
resources,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22resources%22"", ""1402"")",,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22resources%22"", ""1399"")","=HYPERLINK(""https://performance-lacity.data.socrata.com"", ""Performance LA"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Performance+LA%22+AND+tags%3A%22resources%22"", ""1"")","=HYPERLINK(""https://data.chhs.ca.gov/"", ""California Health and Human Services Open Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Health+and+Human+Services+Open+Data+Portal%22+AND+tags%3A%22resources%22"", ""1"")","=HYPERLINK(""https://data.lacity.org"", ""Los Angeles Open Data"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22Los+Angeles+Open+Data%22+AND+tags%3A%22resources%22"", ""1"")",,,,
bird,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22bird%22"", ""868"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22bird%22"", ""868"")",,,,,,,,,,
birds,"=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=tags%3A%22birds%22"", ""747"")",environment,,,"=HYPERLINK(""https://data.cnra.ca.gov"", ""California Natural Resources Agency Data Portal"")","=HYPERLINK(""https://lacounts-staging.l3.ckan.io/dataset?q=harvest_source_title%3A%22California+Natural+Resources+Agency+Data+Portal%22+AND+tags%3A%22birds%22"", ""747"")",,,,,,,,,,
